0-9 y/o % of total pop,10-19 y/o % of total pop,20-29 y/o % of total pop,30-39 y/o % of total pop,40-49 y/o % of total pop,50-59 y/o % of total pop,80+ y/o % of total pop,% White-alone,Black-alone pop,% Black-alone,Native American/American Indian-alone pop,% NA/AI-alone,Asian-alone pop,% Asian-alone,Hawaiian/Pacific Islander-alone pop,% Hawaiian/PI-alone,% Two or more races,N_POP_CHG_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_NET_MIG_2018,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a high school diploma only 2014-18,Percent of adults completing some college or associate's degree 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,PCTPOV517_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Percent of Population Aged 60+,COUNTY_NAME,STATE_NAME,CNTY_FIPS,anycondition_Upper 95% CI,Obesity_Upper 95% CI,Heart disease_Upper 95% CI,Heart disease_number,COPD_Upper 95% CI,CKD_Upper 95% CI,CKD_number,Urban_rural_code,COUNTY_NAME_N,STATE_NAME_N
12.20661499,13.73536447,12.37028111,12.74977069,13.63644539,13.91701588,3.62223701,76.72523875,10915,19.63094189,267,0.480207191,681,1.224798115,62,0.111508786,1.827305264,158,11.8,9.6,2.2,0.0,0.6,11.3,32.6,28.4,27.7,19.5,3.6,59338,119.0,71.2,6.9,19.1,Autauga,Alabama,1,49.4,37.3,8.7,3345,9.9,3.3,1326,3,0,0
11.35527607,12.3441671,10.81496363,11.56442928,12.53910156,13.75365789,4.296814083,87.2852281,19492,8.940382163,1684,0.772399116,2508,1.150342626,146,0.066965719,1.78468228,5403,10.5,10.3,0.1,0.5,24.8,9.7,27.6,31.3,31.3,13.1,3.6,57588,115.5,71.2,6.9,26.3,Baldwin,Alabama,3,42.3,31.0,8.7,13414,10.1,3.5,5479,4,1,0
10.98026607,11.89662795,13.13452032,12.86523854,12.35480889,13.17471163,4.212049355,49.06957116,12042,48.39837627,164,0.659137495,113,0.45416181,46,0.184880029,1.233873237,-277,10.4,12.9,-2.5,0.5,-8.6,27.0,35.7,25.1,12.2,36.7,5.2,34382,68.9,71.2,6.9,23.5,Barbour,Alabama,5,59.1,41.9,11.8,2159,13.3,4.8,887,6,2,0
10.96428571,11.58928571,13.52232143,13.89732143,13.5625,13.90625,3.504464286,76.83482143,4770,21.29464286,98,0.4375,53,0.236607143,26,0.116071429,1.080357143,-155,11.1,11.4,-0.3,0.4,-6.6,16.8,47.3,24.4,11.5,26.3,4.0,46064,92.3,71.2,6.9,21.1,Bibb,Alabama,7,53.4,40.2,9.3,1533,11.3,3.6,595,2,3,0
12.26659751,13.08782849,11.65629322,11.90179806,12.92185339,13.5615491,4.036998617,95.87828492,950,1.642461964,378,0.653526971,185,0.319847856,70,0.121023513,1.384854772,13,11.8,11.4,0.3,0.1,0.0,19.8,34.0,33.5,12.6,15.5,3.5,50412,101.1,71.2,6.9,23.6,Blount,Alabama,9,48.4,35.5,10.1,4101,12.0,3.7,1507,2,4,0
11.81692642,11.14618268,13.76011048,14.26316828,12.56658118,13.37541921,4.113237325,26.24778063,7168,70.70428092,85,0.838429671,19,0.187413691,76,0.749654764,1.272440324,-38,11.3,11.8,-0.5,-0.2,-3.2,24.8,39.7,22.3,13.3,66.5,4.7,29267,58.7,71.2,6.9,22.6,Bullock,Alabama,11,62.6,47.4,10.8,804,12.1,4.8,360,6,5,0
11.94613821,12.5050813,11.61585366,11.875,11.77845528,12.65752033,5.553861789,52.25101626,8839,44.91361789,74,0.37601626,259,1.316056911,10,0.050813008,1.092479675,-218,11.2,12.1,-0.9,0.9,-10.1,15.4,43.9,24.6,16.1,35.3,4.8,37365,74.9,71.2,6.9,25.6,Butler,Alabama,13,59.7,42.5,11.2,1588,12.7,4.6,662,6,6,0
11.49925182,12.80835164,13.53115675,12.13280013,12.01204092,13.41039754,3.936925191,75.27848998,24153,21.13548658,617,0.539916169,1102,0.96432353,126,0.110258407,1.971525329,-387,11.3,13.1,-1.8,0.6,-1.6,15.9,32.4,33.7,18.0,24.1,4.7,45400,91.0,71.2,6.9,23.5,Calhoun,Alabama,15,55.5,42.3,9.9,8146,11.7,3.8,3204,4,7,0
11.50974267,11.34017552,13.02989737,11.10813625,12.13148892,14.16331995,4.51286628,57.0638108,13446,40.0,103,0.306410829,446,1.326788636,15,0.044622936,1.258366801,-143,10.6,13.7,-3.1,0.6,-1.1,18.6,38.4,29.7,13.2,30.3,3.9,39917,80.0,71.2,6.9,25.1,Chambers,Alabama,17,57.4,40.4,10.6,2618,12.0,4.2,1068,5,8,0
9.811001844,11.45129072,10.95574677,9.618930547,12.3079287,14.87784266,4.928549478,93.02781192,1109,4.260141364,172,0.660725261,88,0.338045483,8,0.030731408,1.682544561,217,8.4,13.1,-4.7,0.0,13.0,19.8,38.3,29.0,12.9,22.2,3.6,42132,84.5,71.2,6.9,29.1,Cherokee,Alabama,19,58.1,41.0,12.0,2282,13.9,4.2,814,6,9,0
12.80094218,13.17690757,12.60616493,11.85196929,12.80773673,13.43510067,3.632822232,87.10393405,4579,10.37075623,250,0.566212941,215,0.48694313,77,0.174393586,1.297760062,36,11.9,11.5,0.5,0.6,0.4,17.8,44.1,24.0,14.2,22.7,3.6,47547,95.3,71.2,6.9,21.5,Chilton,Alabama,21,58.1,41.9,10.4,3181,12.5,3.8,1185,2,10,0
10.31072346,11.59567012,10.91815279,10.03815902,11.51000701,15.16237053,5.583677284,57.18401994,5355,41.70235963,24,0.186901332,23,0.179113776,0,0.0,0.747605327,-94,10.4,13.7,-3.3,-0.2,-4.0,18.6,38.2,30.2,13.0,29.2,5.5,39907,80.0,71.2,6.9,28.5,Choctaw,Alabama,23,58.8,44.3,11.9,1135,13.2,4.8,464,6,11,0
